Epoch,Train_Loss,Train_Acc,Val_Acc
1, 0.1726,0.9345,0.9500
2, 0.1011,0.9634,0.9554
3, 0.0703,0.9754,0.9560
4, 0.0483,0.9833,0.9549
5, 0.0343,0.9881,0.9543
6, 0.0262,0.9910,0.9533
7, 0.0227,0.9922,0.9532
8, 0.0182,0.9938,0.9527
9, 0.0169,0.9943,0.9517
10, 0.0162,0.9946,0.9508
11, 0.0146,0.9949,0.9504
12, 0.0138,0.9952,0.9503
13, 0.0132,0.9954,0.9516
14, 0.0117,0.9961,0.9505
15, 0.0119,0.9961,0.9512
16, 0.0110,0.9963,0.9507
17, 0.0102,0.9966,0.9507
18, 0.0102,0.9967,0.9516
19, 0.0095,0.9968,0.9509
20, 0.0097,0.9968,0.9508
